,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Flin Flon,CA,54.7682,-101.865,17.44,27,0,8.05,clear sky
1,Mataura,NZ,-46.1927,168.8643,59.49,90,100,2.17,overcast clouds
2,Kapaa,US,22.0752,-159.319,79.48,60,0,3.44,clear sky
3,Nizhniy Tsasuchey,RU,50.5167,115.1333,11.07,68,99,23.94,overcast clouds
4,Tiksi,RU,71.6872,128.8694,-16.01,99,100,2.44,overcast clouds
5,Borivka,UA,50.4564,29.546,31.62,93,100,7.45,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-18.36,100,83,3.53,broken clouds
7,New Norfolk,AU,-42.7826,147.0587,61.92,78,100,2.51,overcast clouds
8,Aksarka,RU,66.5606,67.7975,-19.44,99,33,6.4,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,56.86,54,40,6.91,scattered clouds
10,Solnechnyy,RU,50.7214,136.6319,-2.36,91,43,3.96,scattered clouds
11,Guerrero Negro,MX,27.9769,-114.0611,72.99,31,71,8.81,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,55.51,47,75,23.02,broken clouds
13,Shulan,CN,44.4167,126.95,20.55,71,17,10.47,few clouds
14,Barrow,US,71.2906,-156.7887,14.02,85,100,5.75,overcast clouds
15,Bredasdorp,ZA,-34.5322,20.0403,63.72,77,37,4.61,scattered clouds
16,Bengkulu,ID,-3.8004,102.2655,73.98,96,100,9.26,moderate rain
17,Pevek,RU,69.7008,170.3133,-16.4,100,96,0.69,overcast clouds
18,Pisco,PE,-13.7,-76.2167,80.65,54,0,9.22,clear sky
19,Chuy,UY,-33.6971,-53.4616,71.94,60,12,11.16,few clouds
20,Rongcheng,CN,30.634,117.8517,55.56,93,100,1.77,overcast clouds
21,Sioux Falls,US,43.55,-96.7003,36.97,51,75,12.66,broken clouds
22,Ipameri,BR,-17.7219,-48.1597,72.0,78,97,5.88,moderate rain
23,Albany,US,42.6001,-73.9662,30.45,43,88,5.99,overcast clouds
24,Grahamstown,ZA,-33.3042,26.5328,63.57,89,100,2.66,light rain
25,Rikitea,PF,-23.1203,-134.9692,80.11,74,0,19.44,clear sky
26,Halifax,CA,44.6453,-63.5724,27.09,94,100,15.01,overcast clouds
27,Hilo,US,19.7297,-155.09,81.25,79,20,10.36,few clouds
28,Fortuna,US,40.5982,-124.1573,56.48,84,100,16.11,overcast clouds
29,Marilia,BR,-22.2139,-49.9458,77.76,66,59,2.55,broken clouds
30,Avarua,CK,-21.2078,-159.775,84.25,79,20,9.22,few clouds
31,Esperance,AU,-33.8667,121.9,58.84,71,10,10.2,clear sky
32,Khorixas,NA,-20.3667,14.9667,68.94,40,9,9.95,clear sky
33,Busselton,AU,-33.65,115.3333,51.04,89,1,8.3,clear sky
34,Dangriga,BZ,16.9692,-88.2321,80.56,75,43,9.15,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,72.0,79,100,4.32,overcast clouds
36,Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,few clouds
37,Altamira,BR,-3.2033,-52.2064,86.09,74,20,3.44,few clouds
38,Biggar,GB,55.6167,-3.5167,42.55,94,100,1.3,overcast clouds
39,Cape Town,ZA,-33.9258,18.4232,66.27,77,20,8.05,few clouds
40,Thompson,CA,55.7435,-97.8558,15.96,38,0,11.5,clear sky
41,Havoysund,NO,70.9963,24.6622,28.63,76,100,26.24,light snow
42,Kieta,PG,-6.2167,155.6333,81.34,81,98,1.28,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,6.91,clear sky
44,Tiptur,IN,13.2586,76.4783,65.77,48,62,5.68,broken clouds
45,Carnarvon,AU,-24.8667,113.6333,71.67,43,0,16.11,clear sky
46,Astoria,US,46.1879,-123.8313,50.02,83,75,12.66,light rain
47,Torbay,CA,47.6666,-52.7314,29.88,72,100,13.8,overcast clouds
48,Nikolskoye,RU,59.7035,30.7861,33.69,97,90,6.31,overcast clouds
49,Svetlogorsk,BY,52.6333,29.7333,30.2,91,94,7.61,overcast clouds
50,Kalmunai,LK,7.4167,81.8167,75.27,89,100,13.56,overcast clouds
51,Bluff,NZ,-46.6,168.3333,59.81,92,100,7.85,overcast clouds
52,Kavaratti,IN,10.5669,72.642,81.73,67,16,12.08,few clouds
53,Ratlam,IN,23.3167,75.0667,66.88,28,0,9.75,clear sky
54,Vengerovo,RU,55.6848,76.7471,15.69,94,100,8.75,overcast clouds
55,Butaritari,KI,3.0707,172.7902,80.85,83,100,15.14,moderate rain
56,Sechura,PE,-5.5569,-80.8222,79.2,66,100,1.23,overcast clouds
57,Hangzhou,CN,30.2937,120.1614,53.51,97,100,1.92,overcast clouds
58,Rocha,UY,-34.4833,-54.3333,70.16,57,53,11.12,broken clouds
59,Qaanaaq,GL,77.484,-69.3632,6.73,58,0,9.8,clear sky
60,Niono,ML,14.2526,-5.993,82.71,19,86,12.12,overcast clouds
61,Mayo,US,38.8876,-76.5119,54.73,31,0,13.8,clear sky
