City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhangye,CN,2022-02-28 21:53:51,38.9342,100.4517,26.96,29,11,5.75
1,Venado Tuerto,AR,2022-02-28 22:00:24,-33.7456,-61.9688,74.1,38,0,7.54
2,Catamarca,AR,2022-02-28 22:00:26,-28.4696,-65.7852,67.19,98,100,8.03
3,Bonthe,SL,2022-02-28 22:00:27,7.5264,-12.505,76.37,80,33,3.58
4,Tuktoyaktuk,CA,2022-02-28 21:57:40,69.4541,-133.0374,-4.95,84,4,12.3
5,Labuhan,ID,2022-02-28 22:00:29,-6.8844,112.2051,77.0,89,91,5.21
6,Bayangol,RU,2022-02-28 22:00:30,50.6977,103.4656,3.06,94,100,3.44
7,Havre-Saint-Pierre,CA,2022-02-28 22:00:31,50.2334,-63.5986,5.36,51,20,19.57
8,Saint George,US,2022-02-28 22:00:32,37.1041,-113.5841,62.64,21,0,2.06
9,Luau,AO,2022-02-28 22:00:32,-10.7073,22.2247,64.87,97,100,3.36
10,Williston,US,2022-02-28 22:00:33,48.147,-103.618,36.57,87,100,3.91
11,Vardo,NO,2022-02-28 22:00:35,70.3705,31.1107,26.8,76,100,9.24
12,Bethel,US,2022-02-28 22:00:36,41.3712,-73.414,34.0,39,4,6.02
13,Salinopolis,BR,2022-02-28 21:57:58,-0.6136,-47.3561,79.77,82,94,9.24
14,Dikson,RU,2022-02-28 22:00:37,73.5069,80.5464,-4.09,97,99,4.25
15,Lebu,CL,2022-02-28 22:00:37,-37.6167,-73.65,60.53,70,36,19.75
16,Puerto Ayora,EC,2022-02-28 22:00:38,-0.7393,-90.3518,80.55,87,83,5.01
17,Busselton,AU,2022-02-28 21:56:16,-33.65,115.3333,67.08,87,79,7.96
18,Saint-Augustin,CA,2022-02-28 22:00:38,51.226,-58.6502,7.54,81,100,19.51
19,Hermanus,ZA,2022-02-28 22:00:39,-34.4187,19.2345,67.59,87,8,2.82
20,Uddevalla,SE,2022-02-28 22:00:40,58.3478,11.9424,39.22,81,46,1.99
21,Nanortalik,GL,2022-02-28 22:00:40,60.1432,-45.2371,13.96,64,11,6.62
22,Bengkulu,ID,2022-02-28 22:00:41,-3.8004,102.2655,75.97,81,99,2.95
23,Upernavik,GL,2022-02-28 22:00:41,72.7868,-56.1549,-4.85,79,24,4.29
24,Iqaluit,CA,2022-02-28 22:00:42,63.7506,-68.5145,-23.89,90,97,7.63
25,Bluff,NZ,2022-02-28 22:00:42,-46.6,168.3333,62.8,84,100,7.27
26,Boa Vista,BR,2022-02-28 22:00:42,2.8197,-60.6733,86.79,49,78,8.68
27,Mataura,NZ,2022-02-28 22:00:43,-46.1927,168.8643,59.5,79,100,3.06
28,Albany,US,2022-02-28 21:57:01,42.6001,-73.9662,25.3,35,52,1.99
29,Egvekinot,RU,2022-02-28 22:00:44,66.3167,-179.1667,17.11,95,100,5.91
30,Atuona,PF,2022-02-28 21:59:23,-9.8,-139.0333,78.84,76,13,17.94
31,Butaritari,KI,2022-02-28 22:00:44,3.0707,172.7902,81.99,78,63,19.22
32,Cape Town,ZA,2022-02-28 21:58:46,-33.9258,18.4232,66.43,85,18,4.83
33,Saint-Philippe,RE,2022-02-28 22:00:45,-21.3585,55.7679,78.42,84,30,8.55
34,Sitka,US,2022-02-28 22:00:45,57.0531,-135.33,41.9,92,100,1.7
35,Pisco,PE,2022-02-28 22:00:46,-13.7,-76.2167,76.1,68,21,5.3
36,Yellowknife,CA,2022-02-28 22:00:06,62.456,-114.3525,0.41,75,86,8.99
37,Rikitea,PF,2022-02-28 22:00:46,-23.1203,-134.9692,78.89,69,89,1.95
38,Bow Island,CA,2022-02-28 22:00:02,49.8668,-111.3684,41.32,79,100,4.14
39,Jishou,CN,2022-02-28 22:00:47,28.3167,109.7167,51.19,88,100,9.4
40,Manikpur,IN,2022-02-28 22:00:47,25.0667,81.1167,59.14,30,0,0.72
41,Sao Joao Da Barra,BR,2022-02-28 22:00:48,-21.6403,-41.0511,77.38,83,0,14.88
42,Hasaki,JP,2022-02-28 22:00:48,35.7333,140.8333,51.55,64,4,7.78
43,Nicoya,CR,2022-02-28 22:00:49,10.1483,-85.452,92.73,29,3,10.63
44,Codrington,AU,2022-02-28 22:00:49,-38.2667,141.9667,64.96,90,100,5.66
45,Avarua,CK,2022-02-28 22:00:50,-21.2078,-159.775,84.25,74,40,10.36
46,Teluknaga,ID,2022-02-28 22:00:51,-6.0989,106.6381,76.17,100,40,6.91
47,Port Blair,IN,2022-02-28 22:01:51,11.6667,92.75,80.28,73,96,9.66
48,Ahipara,NZ,2022-02-28 22:01:51,-35.1667,173.1667,70.03,58,100,4.99
49,Torbay,CA,2022-02-28 22:01:52,47.6666,-52.7314,26.71,55,86,9.46
50,Weinan,CN,2022-02-28 22:01:52,34.5036,109.5089,40.57,28,100,3.8
51,Victoria,HK,2022-02-28 21:59:36,22.2855,114.1577,72.09,85,92,3.0
52,Hirado,JP,2022-02-28 22:01:53,33.3597,129.5531,52.39,88,96,18.25
53,Hudson Bay,CA,2022-02-28 22:01:53,52.85,-102.3842,17.47,83,100,1.07
54,Zharkovskiy,RU,2022-02-28 22:01:54,55.849,32.2697,15.15,97,9,0.54
55,Romanovo,RU,2022-02-28 22:01:54,52.6182,81.2271,5.88,98,100,5.17
56,Bari,IT,2022-02-28 22:01:54,41.1177,16.8512,43.88,82,40,11.01
